county_name,county_population,total,fail_to_attend_cases_filed_2020,parents_contrib_to_nonattend_cases_filed_2020,fail_to_attend_cases_filed_2021,parents_contrib_to_nonattend_cases_filed_2021,fail_to_attend_cases_filed_2022,parents_contrib_to_nonattend_cases_filed_2022,fail_to_attend_cases_filed_2023,parents_contrib_to_nonattend_cases_filed_2023,fail_to_attend_cases_filed_2024,parents_contrib_to_nonattend_cases_filed_2024,fail_to_attend_cases_filed_2025,parents_contrib_to_nonattend_cases_filed_2025
San Augustine,"7,767",0,0,0,0,0,0,0,0,0,0,0,0,0
Yoakum,"7,581",0,0,0,0,0,0,0,0,0,0,0,0,0
Dallam,"7,526",34,7,0,10,0,6,0,6,0,0,3,0,2
McCulloch,"7,448",7,0,0,0,0,0,0,4,0,2,1,0,0
Winkler,"7,381",0,0,0,0,0,0,0,0,0,0,0,0,0
Castro,"7,380",0,,,,,,,,,,,,
Goliad,"7,221",83,0,5,4,22,1,17,2,2,8,19,1,2
Bailey,"7,031",0,0,0,0,0,0,0,0,0,0,0,0,0
Swisher,"6,877",0,0,0,0,0,0,0,,,,,,
Brooks,"6,740",0,0,0,0,0,0,0,0,0,0,0,0,0
Refugio,"6,739",6,0,1,0,3,0,0,0,2,0,0,0,0
Childress,"6,679",0,0,0,0,0,0,0,0,0,0,0,0,0
La Salle,"6,679",0,0,0,0,0,0,0,0,0,0,0,0,0
Lynn,"5,952",0,0,0,0,0,0,0,0,0,0,0,0,0
Carson,"5,822",13,0,0,0,3,0,0,0,8,0,2,0,0
Presidio,"5,686",0,0,0,0,0,0,0,0,0,0,0,0,0
Delta,"5,647",16,0,0,5,0,7,0,4,0,0,0,0,0
San Saba,"5,508",0,0,0,0,0,0,0,0,0,0,0,0,0
Haskell,"5,435",1,0,0,0,0,1,0,0,0,0,0,0,0
Martin,"5,179",8,0,0,0,0,6,0,2,0,0,0,0,0
Floyd,"5,042",0,0,0,0,0,0,0,0,0,0,0,0,0
Crosby,"5,030",0,0,0,0,0,0,0,0,0,0,0,0,0
Hansford,"5,006",5,0,0,0,0,1,0,2,0,2,0,0,0
Hartley,"4,996",15,0,0,0,0,0,0,0,0,0,0,15,0
Wheeler,"4,824",0,0,0,0,0,0,0,0,0,0,0,0,0
Garza,"4,645",0,0,0,0,0,0,0,0,0,0,0,0,0
Crane,"4,594",1,1,0,0,0,0,0,0,0,0,0,0,0
Jim Hogg,"4,583",1,0,0,0,0,0,0,0,0,0,1,0,0
Mills,"4,563",0,0,0,0,0,0,0,0,0,0,0,0,0
Kimble,"4,401",0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,"3,987",0,0,0,0,0,0,0,0,0,0,0,0,0
Fisher,"3,665",12,1,0,4,0,4,0,3,0,0,0,0,0
Hudspeth,"3,608",0,0,0,0,0,0,0,0,0,0,0,0,0
Baylor,"3,533",4,0,0,0,0,0,0,0,0,4,0,0,0
Hardeman,"3,417",40,3,0,6,0,14,1,5,0,9,0,2,0
Coke,"3,396",0,0,0,0,0,0,0,0,0,0,0,0,0
